City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Palma,39.5694,2.6502,52.56,76,100,1.14,ES,2022-01-31 05:13:48
133,Saskylakh,71.9167,114.0833,-24.77,100,94,2.89,RU,2022-01-31 05:13:48
134,Ambon,-3.6954,128.1814,91.54,52,40,20.71,ID,2022-01-31 05:13:48
135,Qaanaaq,77.484,-69.3632,-7.46,93,100,4.41,GL,2022-01-31 05:13:49
136,Taltal,-25.4,-70.4833,64.31,81,11,1.68,CL,2022-01-31 05:13:49
137,Atuona,-9.8,-139.0333,78.26,75,10,15.59,PF,2022-01-31 05:13:49
138,Trinidad,-14.8333,-64.9,72.25,98,85,4.63,BO,2022-01-31 05:13:50
139,Yarada,17.65,83.2667,77.32,65,20,4.61,IN,2022-01-31 05:13:50
140,Flinders,-34.5833,150.8552,86.2,72,30,8.19,AU,2022-01-31 05:13:50
141,Sousa,-6.7592,-38.2281,73.94,76,30,4.23,BR,2022-01-31 05:10:02
142,Ambala,30.3783,76.7808,60.39,59,0,4.99,IN,2022-01-31 05:13:51
143,Cabedelo,-6.9811,-34.8339,79.47,75,34,12.8,BR,2022-01-31 05:13:51
144,Coquimbo,-29.9533,-71.3436,62.33,88,0,3.44,CL,2022-01-31 05:13:52
145,Cayenne,4.9333,-52.3333,79.09,88,75,1.01,GF,2022-01-31 05:13:35
146,Paamiut,61.994,-49.6678,27.03,97,100,4.18,GL,2022-01-31 05:13:52
147,Bundaberg,-24.85,152.35,89.22,55,23,5.01,AU,2022-01-31 05:09:04
148,Senador Jose Porfirio,-2.5908,-51.9542,72.73,97,100,2.26,BR,2022-01-31 05:13:52
149,Ouango,4.3133,22.5552,64.44,40,24,3.49,CF,2022-01-31 05:11:17
150,Guymon,36.6828,-101.4816,40.95,23,27,8.43,US,2022-01-31 05:13:53
151,Husavik,66.0449,-17.3389,19.09,64,92,19.91,IS,2022-01-31 05:08:15
152,Teguise,29.0605,-13.564,53.82,58,0,6.91,ES,2022-01-31 05:13:53
153,Springdale,36.1867,-94.1288,42.31,60,0,3.0,US,2022-01-31 05:12:44
154,Nikolskoye,59.7035,30.7861,26.49,96,100,5.06,RU,2022-01-31 05:13:54
155,Cabo San Lucas,22.8909,-109.9124,70.52,76,87,1.01,MX,2022-01-31 05:13:46
156,Kavieng,-2.5744,150.7967,83.59,69,93,2.35,PG,2022-01-31 05:06:51
157,Loreto,22.2667,-101.9667,57.96,33,13,6.8,MX,2022-01-31 05:13:54
158,Hohhot,40.8106,111.6522,15.44,49,30,8.52,CN,2022-01-31 05:13:55
159,Dukat,62.55,155.55,-11.2,98,89,5.39,RU,2022-01-31 05:13:55
160,Gerede,40.8008,32.1969,16.81,95,100,5.55,TR,2022-01-31 05:13:55
161,Kasongo,-4.45,26.6667,68.07,95,100,3.42,CD,2022-01-31 05:13:56
162,Kapuskasing,49.4169,-82.4331,-22.31,100,85,1.07,CA,2022-01-31 05:13:56
163,Gat,31.61,34.7642,47.39,100,98,5.77,IL,2022-01-31 05:13:57
