City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description,Country,Date
117,Ponta Do Sol,32.6667,-17.1,67.01,67,25,4.09,scattered clouds,PT,2022-02-04 03:16:12
118,Port Elizabeth,-33.918,25.5701,67.1,77,0,12.66,clear sky,ZA,2022-02-04 03:16:12
119,Wanning,18.8003,110.3967,65.91,86,100,11.18,overcast clouds,CN,2022-02-04 03:16:12
120,Channel-Port Aux Basques,47.5702,-59.1367,31.62,98,100,10.54,light snow,CA,2022-02-04 03:16:13
121,Tual,-5.6667,132.75,83.71,72,84,14.52,broken clouds,ID,2022-02-04 03:16:13
122,Qaanaaq,77.484,-69.3632,-13.45,56,99,8.46,overcast clouds,GL,2022-02-04 03:16:13
123,Weihe,32.9952,105.3247,38.23,53,31,2.95,scattered clouds,CN,2022-02-04 03:16:14
124,Lahaina,20.8783,-156.6825,81.64,76,7,6.38,clear sky,US,2022-02-04 03:16:14
125,Tete,-16.1564,33.5867,77.09,100,20,0.0,few clouds,MZ,2022-02-04 03:16:15
126,Barrow,71.2906,-156.7887,-25.58,68,100,0.0,haze,US,2022-02-04 03:12:47
127,Ixtapa,20.7,-105.2,70.83,78,20,0.0,few clouds,MX,2022-02-04 03:16:15
128,Mount Gambier,-37.8333,140.7667,71.89,44,7,12.06,clear sky,AU,2022-02-04 03:14:09
129,Den Helder,52.9599,4.7593,48.18,89,100,15.99,overcast clouds,NL,2022-02-04 03:16:16
130,Ancud,-41.8697,-73.8203,60.22,96,37,3.09,scattered clouds,CL,2022-02-04 03:13:45
131,Touros,-5.1989,-35.4608,79.7,75,58,13.24,broken clouds,BR,2022-02-04 03:16:16
132,Tuktoyaktuk,69.4541,-133.0374,-23.24,100,100,8.86,overcast clouds,CA,2022-02-04 03:12:43
133,Tacuati,-23.45,-56.5833,73.04,98,95,3.87,moderate rain,PY,2022-02-04 03:16:17
134,Provideniya,64.3833,-173.3,2.77,58,8,23.31,clear sky,RU,2022-02-04 03:16:17
135,Shingu,33.7333,135.9833,49.19,32,60,3.56,broken clouds,JP,2022-02-04 03:16:17
136,Erzin,36.9559,36.2,45.32,85,100,8.01,overcast clouds,TR,2022-02-04 03:16:18
137,Ambo,-10.1308,-76.2047,59.11,94,98,2.24,overcast clouds,PE,2022-02-04 03:17:18
138,Port Augusta,-32.5,137.7667,83.71,29,0,11.18,clear sky,AU,2022-02-04 03:17:18
139,Alekseyevsk,57.8406,108.3492,10.06,94,100,8.59,light snow,RU,2022-02-04 03:17:19
140,Yaan,7.3833,8.5667,76.42,13,10,8.9,clear sky,NG,2022-02-04 03:17:19
141,Ekhabi,53.5102,142.9671,4.32,92,100,22.82,overcast clouds,RU,2022-02-04 03:17:20
142,Nueva Loja,0.0847,-76.8828,74.89,80,59,1.97,broken clouds,EC,2022-02-04 03:17:20
143,Kshenskiy,51.8408,37.7136,22.71,97,100,5.77,light snow,RU,2022-02-04 03:17:20
144,Hasaki,35.7333,140.8333,48.29,57,100,8.55,overcast clouds,JP,2022-02-04 03:17:21
145,Mar Del Plata,-38.0023,-57.5575,69.1,94,100,0.0,fog,AR,2022-02-04 03:17:21
146,Taut,46.2833,21.9167,27.95,88,99,4.99,overcast clouds,RO,2022-02-04 03:17:21
147,Tirumullaivasal,11.2333,79.8333,75.47,70,4,3.29,clear sky,IN,2022-02-04 03:17:22
148,Avarua,-21.2078,-159.775,82.45,78,75,16.11,broken clouds,CK,2022-02-04 03:16:42
149,Punta De Bombon,-17.1717,-71.7931,70.57,79,100,5.84,overcast clouds,PE,2022-02-04 03:16:10
150,Chipinge,-20.1883,32.6236,65.88,76,15,2.39,few clouds,ZW,2022-02-04 03:17:23
151,Narsaq,60.9167,-46.05,25.02,96,100,7.7,snow,GL,2022-02-04 03:12:57
152,Lukulu,-14.3707,23.242,65.23,98,100,5.97,light rain,ZM,2022-02-04 03:17:23
153,Carnarvon,-24.8667,113.6333,96.87,36,21,9.22,few clouds,AU,2022-02-04 03:17:23
154,Airai,-8.9266,125.4092,73.17,63,74,4.68,broken clouds,TL,2022-02-04 03:15:08
155,Kemijarvi,66.7131,27.4306,0.64,100,85,3.36,overcast clouds,FI,2022-02-04 03:17:24
156,Alofi,-19.0595,-169.9187,75.09,94,100,5.75,light intensity shower rain,NU,2022-02-04 03:17:24
157,Sechura,-5.5569,-80.8222,71.8,79,68,11.86,broken clouds,PE,2022-02-04 03:17:25
158,Coihaique,-45.5752,-72.0662,56.01,76,20,3.44,few clouds,CL,2022-02-04 03:17:25
159,Pokhara,28.2333,83.9833,49.35,94,100,3.29,light rain,NP,2022-02-04 03:17:26
160,Nioro,13.35,-15.75,73.94,25,0,3.11,clear sky,GM,2022-02-04 03:17:26
161,Winneba,5.3511,-0.6231,82.87,84,20,3.98,few clouds,GH,2022-02-04 03:17:26
162,Pauini,-7.7136,-66.9764,72.82,98,91,1.54,overcast clouds,BR,2022-02-04 03:17:27
163,Sao Cristovao,-11.0147,-37.2064,80.51,78,20,9.22,few clouds,BR,2022-02-04 03:17:27
164,San Luis,-33.295,-66.3356,64.56,80,70,16.89,broken clouds,AR,2022-02-04 03:17:27
165,Nikolskoye,59.7035,30.7861,-0.09,100,100,2.77,overcast clouds,RU,2022-02-04 03:17:28
166,Noumea,-22.2763,166.4572,87.78,80,96,7.2,light rain,NC,2022-02-04 03:13:27
167,Formosa Do Rio Preto,-11.0483,-45.1931,72.1,79,10,1.1,clear sky,BR,2022-02-04 03:17:29
168,Napier,-39.4833,176.9167,83.25,62,0,13.09,clear sky,NZ,2022-02-04 03:17:29
169,Saint-Augustin,51.226,-58.6502,7.79,74,100,15.23,overcast clouds,CA,2022-02-04 03:17:29
170,Rio Gallegos,-51.6226,-69.2181,46.45,61,75,10.36,broken clouds,AR,2022-02-04 03:17:30
171,Sabaudia,41.3003,13.0282,51.93,71,100,10.02,overcast clouds,IT,2022-02-04 03:17:30
172,Kruisfontein,-34.0033,24.7314,63.88,75,74,9.53,broken clouds,ZA,2022-02-04 03:14:25
173,Bethel,41.3712,-73.414,48.94,93,100,6.91,light rain,US,2022-02-04 03:15:19
174,Qaqortoq,60.7167,-46.0333,25.3,96,100,12.44,snow,GL,2022-02-04 03:15:36
175,Japura,-0.3167,102.35,82.47,74,92,3.53,overcast clouds,ID,2022-02-04 03:17:31
176,Mackay,-21.15,149.2,81.68,77,100,15.26,overcast clouds,AU,2022-02-04 03:17:31
177,Husavik,66.0449,-17.3389,22.91,90,100,13.65,snow,IS,2022-02-04 03:17:31
178,Sao Joao Da Barra,-21.6403,-41.0511,73.47,97,98,5.75,overcast clouds,BR,2022-02-04 03:15:44
179,Dicabisagan,17.0818,122.4157,78.21,76,90,6.08,overcast clouds,PH,2022-02-04 03:17:32
180,Saint-Francois,46.4154,3.9054,40.44,88,100,4.61,overcast clouds,FR,2022-02-04 03:17:32
181,Shenjiamen,29.9576,122.298,44.8,63,100,14.61,overcast clouds,CN,2022-02-04 03:18:33
182,Armilla,37.141,-3.6185,54.14,86,0,0.0,clear sky,ES,2022-02-04 03:18:33
183,Kurmanayevka,52.5093,52.0675,28.89,93,100,11.81,overcast clouds,RU,2022-02-04 03:18:34
184,Belyy Yar,53.6039,91.3903,-16.71,83,40,0.0,mist,RU,2022-02-04 03:18:34
185,Clyde River,70.4692,-68.5914,-7.37,84,100,33.38,heavy snow,CA,2022-02-04 03:18:34
186,Leningradskiy,69.3833,178.4167,-9.36,82,2,7.96,clear sky,RU,2022-02-04 03:12:49
187,Aasiaat,68.7098,-52.8699,13.1,82,100,28.14,overcast clouds,GL,2022-02-04 03:18:35
188,Taunggyi,20.7833,97.0333,64.36,35,3,0.63,clear sky,MM,2022-02-04 03:18:35
189,Severo-Kurilsk,50.6789,156.125,31.12,90,100,10.83,light snow,RU,2022-02-04 03:12:48
190,Burnie,-41.0667,145.9167,65.95,58,2,9.42,clear sky,AU,2022-02-04 03:18:36
191,Fort Nelson,58.8053,-122.7002,-11.61,77,100,4.61,light snow,CA,2022-02-04 03:18:36
192,Ranong,9.9658,98.6348,87.73,60,21,8.21,few clouds,TH,2022-02-04 03:18:36
193,Kaitangata,-46.2817,169.8464,49.05,96,100,2.73,light rain,NZ,2022-02-04 03:12:56
194,Portland,45.5234,-122.6762,45.84,93,20,1.99,few clouds,US,2022-02-04 03:18:37
195,Nuuk,64.1835,-51.7216,12.81,92,100,4.61,light snow,GL,2022-02-04 03:18:38
196,Kirillov,59.863,38.3813,-7.91,100,100,1.32,overcast clouds,RU,2022-02-04 03:18:38
197,Ojinaga,29.5667,-104.4167,34.57,64,75,8.05,broken clouds,MX,2022-02-04 03:18:39
198,Faya,18.3851,42.4509,51.91,55,7,2.91,clear sky,SA,2022-02-04 03:18:39
199,Mareeba,-17.0,145.4333,83.12,82,100,4.36,overcast clouds,AU,2022-02-04 03:18:39
200,Sinnamary,5.3833,-52.95,76.42,89,99,10.36,moderate rain,GF,2022-02-04 03:12:52
201,Puerto Baquerizo Moreno,-0.9,-89.6,74.84,84,6,8.14,clear sky,EC,2022-02-04 03:18:40
202,Esso,55.9333,158.7,18.23,87,100,1.34,overcast clouds,RU,2022-02-04 03:18:40
203,Port Hardy,50.6996,-127.4199,45.75,93,75,13.8,broken clouds,CA,2022-02-04 03:18:40
204,Ugoofaaru,5.6667,73.0,80.76,74,52,8.95,broken clouds,MV,2022-02-04 03:18:41
205,Georgetown,5.4112,100.3354,87.73,69,20,3.44,few clouds,MY,2022-02-04 03:14:01
206,Alamosa,37.4695,-105.87,2.66,100,0,5.75,clear sky,US,2022-02-04 03:18:41
207,San Quintin,30.4833,-115.95,56.7,64,0,3.49,clear sky,MX,2022-02-04 03:16:38
208,Dalbandin,28.8947,64.4101,45.46,32,0,4.7,clear sky,PK,2022-02-04 03:18:42
209,Hanzhong,33.0728,107.0303,43.14,55,29,2.84,scattered clouds,CN,2022-02-04 03:18:42
210,Luanda,-8.8368,13.2343,75.16,81,100,7.65,overcast clouds,AO,2022-02-04 03:15:56
211,Qandala,11.472,49.8728,71.69,52,6,3.69,clear sky,SO,2022-02-04 03:18:43
212,Sur,22.5667,59.5289,67.5,48,0,2.93,clear sky,OM,2022-02-04 03:18:43
213,Fukue,32.6881,128.8419,44.96,49,75,11.5,broken clouds,JP,2022-02-04 03:18:43
214,Nelson Bay,-32.7167,152.15,75.96,75,12,21.16,few clouds,AU,2022-02-04 03:18:44
215,Angoram,-4.0625,144.0661,90.12,52,51,5.19,broken clouds,PG,2022-02-04 03:18:44
216,Muros,42.7762,-9.0603,53.24,94,100,5.44,overcast clouds,ES,2022-02-04 03:15:15
217,Broken Hill,-31.95,141.4333,72.82,25,0,18.14,clear sky,AU,2022-02-04 03:18:45
218,La Asuncion,11.0333,-63.8628,78.53,78,1,13.8,clear sky,VE,2022-02-04 03:18:45
219,Aracati,-4.5617,-37.7697,78.75,82,100,8.68,heavy intensity rain,BR,2022-02-04 03:18:46
220,Arrecife,28.963,-13.5477,67.98,73,0,4.61,clear sky,ES,2022-02-04 03:14:12
221,Tazovskiy,67.4667,78.7,0.48,97,99,6.71,overcast clouds,RU,2022-02-04 03:18:47
222,Micheweni,-4.9667,39.8333,80.1,79,98,9.71,overcast clouds,TZ,2022-02-04 03:18:47
223,Umred,20.85,79.3333,64.69,32,4,9.75,clear sky,IN,2022-02-04 03:18:48
224,Itacarambi,-15.1022,-44.0919,73.62,86,85,2.08,overcast clouds,BR,2022-02-04 03:18:48
225,Caravelas,-17.7125,-39.2481,76.33,91,97,4.54,overcast clouds,BR,2022-02-04 03:08:22
226,Novki,56.3608,41.0775,12.38,96,100,4.27,overcast clouds,RU,2022-02-04 03:19:49
227,Boende,-0.2167,20.8667,67.19,93,95,3.0,overcast clouds,CD,2022-02-04 03:19:49
228,Zyryanskoye,56.8306,86.6258,12.29,93,99,9.6,overcast clouds,RU,2022-02-04 03:19:50
229,Lashio,22.9333,97.75,64.26,41,0,1.12,clear sky,MM,2022-02-04 03:19:50
230,Kavaratti,10.5669,72.642,79.2,65,3,8.57,clear sky,IN,2022-02-04 03:19:17
231,Yamunanagar,30.1,77.2833,51.01,96,100,0.65,light rain,IN,2022-02-04 03:19:51
232,College,64.8569,-147.8028,2.86,54,40,9.22,scattered clouds,US,2022-02-04 03:19:52
233,Marsaxlokk,35.8419,14.5431,45.21,87,0,4.61,clear sky,MT,2022-02-04 03:19:52
234,Lensk,60.7253,114.9278,7.34,91,99,6.55,overcast clouds,RU,2022-02-04 03:19:52
235,Altay,47.8667,88.1167,5.97,63,5,6.26,clear sky,CN,2022-02-04 03:15:40
236,Hanting,36.7708,119.2108,34.32,32,51,13.11,broken clouds,CN,2022-02-04 03:19:53
237,Asau,46.4333,26.4,22.28,90,24,6.04,few clouds,RO,2022-02-04 03:19:53
238,Keti Bandar,24.1447,67.4497,69.01,53,0,7.56,clear sky,PK,2022-02-04 03:19:54
239,San Patricio,28.017,-97.5169,35.83,76,94,17.65,overcast clouds,US,2022-02-04 03:16:53
240,Arcata,40.8665,-124.0828,46.92,85,0,4.61,clear sky,US,2022-02-04 03:18:38
241,Dvinskoy,62.1535,45.1175,-8.34,100,99,1.48,overcast clouds,RU,2022-02-04 03:19:54
242,Lagoa,39.05,-27.9833,57.67,75,100,12.33,overcast clouds,PT,2022-02-04 03:19:55
243,Masuguru,-11.3667,38.4167,71.83,98,100,2.33,overcast clouds,TZ,2022-02-04 03:19:55
244,Nouadhibou,20.931,-17.0347,69.78,37,22,9.22,dust,MR,2022-02-04 03:19:56
245,Newport,51.5877,-2.9984,51.35,86,100,25.95,overcast clouds,GB,2022-02-04 03:19:56
246,Ippy,6.2679,21.2247,73.18,22,96,5.61,overcast clouds,CF,2022-02-04 03:19:56
247,Stornoway,58.2093,-6.3865,35.92,81,75,5.99,broken clouds,GB,2022-02-04 03:17:20
248,Staryy Nadym,65.6118,72.6842,5.54,98,97,6.78,overcast clouds,RU,2022-02-04 03:19:57
249,Kavieng,-2.5744,150.7967,83.52,71,82,5.46,broken clouds,PG,2022-02-04 03:16:43
250,Troitsko-Pechorsk,62.7084,56.1964,11.41,96,100,4.63,overcast clouds,RU,2022-02-04 03:19:57
251,Atambua,-9.1061,124.8925,80.29,75,61,7.52,broken clouds,ID,2022-02-04 03:19:58
252,Sinop,41.7711,34.8709,32.4,98,100,8.88,light snow,TR,2022-02-04 03:19:58
253,Saint-Georges,12.0564,-61.7485,76.68,83,20,5.75,few clouds,GD,2022-02-04 03:19:20
254,Lompoc,34.6391,-120.4579,54.12,79,0,0.0,clear sky,US,2022-02-04 03:11:48
255,Kankon,15.0167,74.0167,72.75,80,26,4.54,scattered clouds,IN,2022-02-04 03:19:59
256,Tuatapere,-46.1333,167.6833,52.83,92,100,4.68,overcast clouds,NZ,2022-02-04 03:19:59
257,Suez,29.9737,32.5263,52.0,54,47,18.72,scattered clouds,EG,2022-02-04 03:20:00
258,Cockburn Town,21.4612,-71.1419,75.78,70,1,19.84,clear sky,TC,2022-02-04 03:20:00
259,Norman Wells,65.282,-126.8329,-43.56,66,0,0.0,clear sky,CA,2022-02-04 03:19:55
260,Svetlyy,54.675,20.1347,33.85,98,100,11.14,overcast clouds,RU,2022-02-04 03:20:01
261,Komsomolskiy,40.4272,71.7189,31.42,74,2,2.3,clear sky,UZ,2022-02-04 03:17:01
